id,Name,Category,TruckID,Length,Breadth,Height,Volume,Weight,Price,Display_name
253,14 TYRE,OPEN,253,22,7.5,8,1320,26000,16.8,14 TYRE  26000
254,Tempo 407,CONTAINER,254,9.5,5.5,5.5,287.375,1500,1,Tempo 407  1500
255,Tempo 407,CONTAINER,255,9.5,5.5,5.5,287.375,2000,1.5,Tempo 407  2000
256,Tempo 407,CONTAINER,256,9.5,5.5,5.5,287.375,2500,2,Tempo 407  2500
257,13 Feet,CONTAINER,257,13,5.5,7,500.5,3500,3,13 Feet  3500
258,14 Feet,CONTAINER,258,14,6,6,504,4000,3.5,14 Feet  4000
259,17 Feet,CONTAINER,259,17,6,7,672,6000,4,17 Feet  6000
260,20 ft sxl,CONTAINER,260,20,8,8,1280,6000,5,20 ft sxl  6000
261,20 ft sxl,CONTAINER,261,20,8,8,1280,6500,5.3,20 ft sxl  6500
262,20 ft sxl,CONTAINER,262,20,8,8,1280,7000,5.6,20 ft sxl  7000
263,24 ft sxl,CONTAINER,263,24,8,8,1536,6000,7,24 ft sxl  6000
264,24 ft sxl,CONTAINER,264,24,8,8,1536,6500,7.3,24 ft sxl  6500
265,24 ft sxl,CONTAINER,265,24,8,8,1536,7000,7.9,24 ft sxl  7000
266,24 ft mxl,CONTAINER,266,24,8,8,1536,14000,13,24 ft mxl  14000
267,24 ft mxl,CONTAINER,267,24,8,8,1536,14500,13.6,24 ft mxl  14500
268,24 ft mxl,CONTAINER,268,24,8,8,1536,15000,13.9,24 ft mxl  15000
269,32 ft sxl,CONTAINER,269,32,8,8,2048,6000,8,32 ft sxl  6000
270,32 ft sxl,CONTAINER,270,32,8,8,2048,6500,8.5,32 ft sxl  6500
271,32 ft sxl,CONTAINER,271,32,8,8,2048,7000,8.75,32 ft sxl  7000
272,32 ft sxl HQ,CONTAINER,272,32,9,10,2880,6000,9,32 ft sxl HQ  6000
273,32 ft sxl HQ,CONTAINER,273,32,9,10,2880,6500,9.5,32 ft sxl HQ  6500
274,32 ft sxl HQ,CONTAINER,274,32,9,10,2880,7000,9.75,32 ft sxl HQ  7000
275,32 ft mxl,CONTAINER,275,32,8,8,2048,14000,14,32 ft mxl  14000
276,32 ft mxl,CONTAINER,276,32,8,8,2048,14500,14.1,32 ft mxl  14500
277,32 ft mxl,CONTAINER,277,32,8,8,2048,15000,14.25,32 ft mxl  15000
278,32 ft mxl HQ,CONTAINER,278,32,9,10,2880,14000,14.5,32 ft mxl HQ  14000
279,32 ft mxl HQ,CONTAINER,279,32,9,10,2880,14500,14.75,32 ft mxl HQ  14500
280,32 ft mxl HQ,CONTAINER,280,32,9,10,2880,15000,14.9,32 ft mxl HQ  15000
281,32 Ft txl,CONTAINER,281,32,8,8,2048,20000,17.1,32 Ft txl  20000
282,32 Ft txl,CONTAINER,282,32,8,8,2048,20500,17.2,32 Ft txl  20500
283,32 Ft txl,CONTAINER,283,32,8,8,2048,21000,17.3,32 Ft txl  21000
284,32 Ft txl HQ,CONTAINER,284,32,9,10,2880,20000,17.5,32 Ft txl HQ  20000
285,32 Ft txl HQ,CONTAINER,285,32,9,10,2880,20500,17.8,32 Ft txl HQ  20500
286,32 Ft txl HQ,CONTAINER,286,32,9,10,2880,21000,17.9,32 Ft txl HQ  21000
287,Low bed,TRAILER,287,42,8,8.5,2856,23000,17.95,Low bed  23000
288,Low bed,TRAILER,288,42,8,8.5,2856,28000,18,Low bed  28000
289,Low bed,TRAILER,289,42,8,8.5,2856,35000,19,Low bed  35000
290,Semi bed,TRAILER,290,42,8,8.5,2856,23000,20,Semi bed  23000
291,Semi bed,TRAILER,291,42,8,8.5,2856,28000,21,Semi bed  28000
292,Semi bed,TRAILER,292,42,8,8.5,2856,35000,22,Semi bed  35000
293,High bed,TRAILER,293,42,8,8.5,2856,23000,23,High bed  23000
294,High bed,TRAILER,294,42,8,8.5,2856,28000,24,High bed  28000
295,High bed,TRAILER,295,42,8,8.5,2856,35000,25,High bed  35000
