id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-424639,2019-03-29,000001,Vente,345000,7,,RUE DE LA FERME,0761,95270,95149,Chaumontel,95,,,95149000AA0033,,,,,,,,,,,,,0,1,Maison,136,6,S,sols,,,568,2.418892,49.132594
2019-424640,2019-03-30,000001,Vente,277500,1,,RUE GABRIEL PERI,0200,95470,95250,Fosses,95,,,95250000AH0004,,,,,,,,,,,,,0,1,Maison,67,3,S,sols,,,286,2.519952,49.101757
2019-424641,2019-04-15,000001,Vente,325000,7,,ALL MARIE LOUISE,0430,95560,95430,Montsoult,95,,,95430000AB0154,,,47,120.47,,,,,,,,,1,1,Maison,101,5,,,,,,2.299233,49.068193
2019-424642,2019-04-11,000001,Vente,300000,14,,RUE DE LA FRATERNITE,0690,95190,95280,Goussainville,95,,,95280000AH0134,,,,,,,,,,,,,0,1,Maison,126,6,S,sols,,,400,2.474508,49.039003
2019-424643,2019-03-27,000001,Vente en l'état futur d'achèvement,161000,6,,RUE ALEXANDRE FLEMING,0005,95460,95229,Ézanville,95,,,95229000AI0385,,,209,,,,,,,,,,1,,,,,,,,,,2.352747,49.032816
2019-424643,2019-03-27,000001,Vente en l'état futur d'achèvement,161000,6,,RUE ALEXANDRE FLEMING,0005,95460,95229,Ézanville,95,,,95229000AI0385,,,20,,,,,,,,,,1,,,,,,,,,,2.352747,49.032816
2019-424644,2019-04-01,000001,Vente,215000,9,,ALL DES PEUPLIERS,0744,95400,95680,Villiers-le-Bel,95,,,95680000AN0672,,,1223,,195,110.1,199,,,,,,3,1,Maison,108,5,,,,,,2.408818,48.99634
2019-424645,2019-03-27,000001,Vente en l'état futur d'achèvement,152000,6,,RUE ALEXANDRE FLEMING,0005,95460,95229,Ézanville,95,,,95229000AI0385,,,215,,,,,,,,,,1,,,,,,,,,,2.352747,49.032816
2019-424645,2019-03-27,000001,Vente en l'état futur d'achèvement,152000,6,,RUE ALEXANDRE FLEMING,0005,95460,95229,Ézanville,95,,,95229000AI0385,,,10,,,,,,,,,,1,,,,,,,,,,2.352747,49.032816
2019-424646,2019-03-29,000001,Vente en l'état futur d'achèvement,161000,6,,RUE ALEXANDRE FLEMING,0005,95460,95229,Ézanville,95,,,95229000AI0385,,,207,,,,,,,,,,1,,,,,,,,,,2.352747,49.032816
